
==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,OK,0.00,OK
0,3+4,NG,0.84,outsc
1,1+2,OK,0.00,OK
1,3+4,NG,0.80,outsc
2,1+2,OK,0.00,OK
2,3+4,NG,0.78,outsc
3,1+2,OK,0.00,OK
3,3+4,NG,0.84,outsc
4,1+2,OK,0.00,OK
4,3+4,NG,0.88,outsc
5,1+2,OK,0.00,OK
5,3+4,NG,0.86,outsc
6,1+2,OK,0.00,OK
6,3+4,NG,0.80,outsc
7,1+2,OK,0.00,OK
7,3+4,NG,0.85,outsc
8,1+2,NG,0.80,bp
8,3+4,NG,0.84,outsc
9,1+2,OK,0.00,OK
9,3+4,NG,0.86,outsc
10,1+2,OK,0.00,OK
10,3+4,NG,0.85,outsc
11,1+2,OK,0.00,OK
11,3+4,NG,0.86,outsc
12,1+2,NG,0.72,wp
12,3+4,NG,0.48,outsc
13,1+2,OK,0.00,OK
13,3+4,NG,0.84,outsc
14,1+2,OK,0.00,OK
14,3+4,NG,0.79,outsc
15,1+2,OK,0.00,OK
15,3+4,NG,0.90,outsc
16,1+2,OK,0.00,OK
16,3+4,NG,0.78,outsc
17,1+2,NG,0.84,SC
17,3+4,OK,0.32,outsc
18,1+2,OK,0.00,OK
18,3+4,NG,0.81,outsc
19,1+2,OK,0.00,OK
19,3+4,NG,0.84,outsc
20,1+2,OK,0.00,OK
20,3+4,NG,0.83,outsc
21,1+2,NG,0.79,wp
21,3+4,NG,0.81,outsc
22,1+2,OK,0.00,OK
22,3+4,NG,0.87,outsc
23,1+2,OK,0.00,OK
23,3+4,NG,0.81,outsc
24,1+2,OK,0.00,OK
24,3+4,NG,0.89,outsc
25,1+2,OK,0.00,OK
25,3+4,NG,0.78,outsc
26,1+2,OK,0.00,OK
26,3+4,OK,0.00,OK
27,1+2,OK,0.00,OK
27,3+4,NG,0.78,outsc
28,1+2,OK,0.00,OK
28,3+4,NG,0.78,outsc
29,1+2,OK,0.00,OK
29,3+4,NG,0.84,outsc
30,1+2,OK,0.00,OK
